name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YGL172W	0.230769	0.0140448	8640.55	26	1.36363	1
YGR120C	0.194737	0.0226712	9399.24	14	1.32686	1
YKL103C	0.0959596	0.0138011	35004.5	0.001	1.21862e-13	0
YAL035W	0.169591	0.0250256	7771.5	12	0.893277	1
YDL014W	0.16934	0.0252931	8615.8	56	104.864	1
YDR496C	0.310526	0.0274919	1779.96	0.001	3.15738e-13	0
YER036C	0.222222	0.00960566	11896.2	4	0.0014404	1
YGL130W	0.142857	0.0252537	5551.84	3	0.00870974	1
YGR102C	0.666667	0.035982	100.262	0.001	1.12043e-13	0
YIL018W	0.205128	0.0639602	5270.88	10	18.0946	0
YIR001C	0.228571	0.0385598	1250.92	0.001	6.3211e-13	0
YLR175W	0.0883459	0.0117033	53693.1	22	0.947574	1
YLR241W	0.154412	0.03864	22824.5	0.001	7.85649e-12	0
YLR427W	0.0873016	0.022532	13768.6	0.001	3.09821e-13	0
YMR106C	0.045864	0.0137756	120445	7	0.0682329	0
YNL030W	0.0526316	0.0147769	85451.7	6	0.0463183	0
YOR119C	0.107104	0.0131326	61527.9	0.001	1.96009e-13	1
YOR361C	0.289474	0.0210443	7974.24	38	24.842	1
YPR041W	0.195652	0.0205915	9676.42	49	40.0443	1
YAL036C	0.157895	0.0271043	6641.58	0.001	5.65972e-13	0
YCR038C	0.4	0.0604555	505.566	0.001	2.70135e-12	0
YDL065C	0.10582	0.0142243	30421.1	0.001	1.31786e-13	0
YDL126C	0.0581323	0.00876159	110979	10	0.0380183	1
YDR152W	0.5	0.00954171	585.248	0.001	2.42557e-15	0
YGR162W	0.125436	0.0181681	25354.9	52	48.7225	0
YGR250C	0.285714	0.0308543	790.276	0.001	2.04631e-13	0
YHR027C	0.254707	0.0148258	18815.1	91	174.477	1
YIL075C	0.17803	0.0144202	10973.2	38	4.63521	1
YJL138C	0.135354	0.0125524	33821.1	24	1.57109	0
YKL152C	0.0369538	0.00993783	82196.5	0.001	2.96263e-14	1
