name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YAL066W	1.0000	0.0076	0.0000	0.0010	0.0000	0
YAR002CA	0.5000	0.0087	3422.9517	0.0010	0.0000	0
YER110C	0.1548	0.0468	36662.9647	7.0000	9.3765	0
YDL229W	0.5000	0.0739	189.5935	0.0010	0.0000	0
YDR385W	0.3214	0.0491	11792.6382	5.0000	2.7558	0
YGL097W	0.3333	0.0370	6394.2426	0.0010	0.0000	1
YJL080C	0.2857	0.0199	4564.1832	1.0000	0.0002	0
YLR293C	0.1988	0.0150	24582.0881	0.0010	0.0000	1
YAR003W	0.4722	0.0176	9441.2622	10.0000	0.4285	0
YBL026W	0.0638	0.0674	123560.2657	32.0000	5326.6100	1
YBR175W	0.3333	0.0391	11383.9175	10.0000	8.8755	0
YBR258C	0.7143	0.1217	456.9774	12.0000	123.7014	0
YDR140W	0.5000	0.2418	736.8617	0.0010	0.0000	0
YHR119W	0.4364	0.0317	12447.5729	12.0000	9.4528	0
YLR015W	0.5333	0.2427	2267.6908	14.0000	11505.4282	0
YAR007C	0.2185	0.0368	40200.6984	10.0000	16.1655	1
YBR114W	0.4364	0.1146	6178.4285	9.0000	338.8508	0
YBR136W	0.5714	0.0747	2054.1375	0.0010	0.0000	1
YCR028CA	1.0000	0.1573	0.0000	0.0010	0.0000	0
YCR092C	0.7273	0.0831	582.8054	19.0000	138.3731	0
YDL007W	0.8026	0.0628	10435.9215	133.0000	306541.9239	1
YDL097C	0.7326	0.0684	10270.7796	133.0000	386965.3959	1
YDL225W	0.5556	0.0655	1944.8281	16.0000	81.6138	0
YDR034C	0.0332	0.0258	248588.1240	0.0010	0.0000	0
YDR097C	0.5385	0.0497	7942.4399	17.0000	127.9651	0
YDR499W	0.4286	0.0408	3546.2083	0.0010	0.0000	1
YER021W	0.8014	0.0744	7925.6733	133.0000	457150.3154	1
YER095W	0.1912	0.0157	33216.2942	12.0000	0.6641	0
YHR164C	0.5714	0.1336	3371.3327	11.0000	817.7202	1
YJL026W	0.2889	0.0437	12113.3394	5.0000	1.5948	1
YJL173C	0.4167	0.3882	4375.4427	8.0000	21188.8606	1
YLR033W	0.3636	0.0769	4220.3935	8.0000	27.4439	1
YML032C	0.3007	0.0482	10748.6059	24.0000	240.7095	0
YMR167W	0.4744	0.0789	5420.8023	17.0000	488.4177	0
YMR190C	0.6182	0.0918	2742.2397	0.0010	0.0000	0
YNL082W	0.6727	0.0896	860.6990	19.0000	255.5359	0
YNL312W	0.7333	0.1228	324.5995	8.0000	27.7212	1
YOL006C	0.1775	0.0539	32319.4610	6.0000	10.4332	0
YOL090W	0.3714	0.0617	6741.4966	28.0000	794.9747	0
